name,method,resolution_A,mol_weight_Da,mol_weight_kDa,n_polymer_chains,q_score
9w1e,ELECTRON MICROSCOPY,2.74,423898.4,423.90,7,NA
9w1f,ELECTRON MICROSCOPY,2.84,423898.4,423.90,7,NA
9w1g,ELECTRON MICROSCOPY,2.89,423898.4,423.90,7,NA
9w1h,ELECTRON MICROSCOPY,2.94,425828.7,425.83,8,NA
9w1i,ELECTRON MICROSCOPY,2.84,427759.0,427.76,9,NA
9w5i,ELECTRON MICROSCOPY,2.63,296796.3,296.80,6,NA
9wxh,ELECTRON MICROSCOPY,2.60,305955.1,305.96,5,NA
9wxi,ELECTRON MICROSCOPY,2.80,301047.1,301.05,5,NA
9wxj,ELECTRON MICROSCOPY,2.70,305828.9,305.83,5,NA
9xd5,ELECTRON MICROSCOPY,2.72,454510.1,454.51,2,NA
9xd6,ELECTRON MICROSCOPY,2.74,454648.2,454.65,2,NA
9xe7,ELECTRON MICROSCOPY,3.02,471136.2,471.14,6,NA
9xyi,ELECTRON MICROSCOPY,2.46,271898.6,271.90,4,NA
9ybn,ELECTRON MICROSCOPY,2.53,463810.7,463.81,3,NA
9yck,ELECTRON MICROSCOPY,2.80,86571.5,86.57,3,NA
9ycl,ELECTRON MICROSCOPY,2.50,173143.0,173.14,6,NA
9ycm,ELECTRON MICROSCOPY,2.94,173221.0,173.22,6,NA
9yco,ELECTRON MICROSCOPY,2.88,86625.5,86.63,3,NA
9yfl,ELECTRON MICROSCOPY,2.90,255883.3,255.88,9,NA
9yfo,ELECTRON MICROSCOPY,3.23,233083.3,233.08,8,NA
9ymc,ELECTRON MICROSCOPY,3.28,114153.5,114.15,3,NA
9yrl,ELECTRON MICROSCOPY,2.90,88607.7,88.61,4,NA
9yrn,ELECTRON MICROSCOPY,2.40,326558.3,326.56,12,NA
9yro,ELECTRON MICROSCOPY,2.55,85548.9,85.55,3,NA
9yxv,ELECTRON MICROSCOPY,2.90,130116.0,130.12,7,NA
9z2n,ELECTRON MICROSCOPY,2.57,112891.2,112.89,2,NA
9z2o,ELECTRON MICROSCOPY,2.66,112891.2,112.89,2,NA
9z2p,ELECTRON MICROSCOPY,2.91,112907.2,112.91,2,NA
9z2q,ELECTRON MICROSCOPY,2.88,112907.2,112.91,2,NA
9z2u,ELECTRON MICROSCOPY,3.00,112816.1,112.82,2,NA
9z2w,ELECTRON MICROSCOPY,3.10,112816.1,112.82,2,NA
9z3d,ELECTRON MICROSCOPY,2.96,98262.5,98.26,2,NA
9zcd,ELECTRON MICROSCOPY,2.70,858603.0,858.60,22,NA
9zq6,ELECTRON MICROSCOPY,2.98,218847.1,218.85,3,NA
